batch,epoch,train_accuracy,train_loss
650.0,5.0,0.78125,0.7890042
651.0,5.0,0.75,0.93419266
652.0,5.0,0.90625,0.50243974
653.0,5.0,0.84375,0.8669848
654.0,5.0,0.71875,1.0008383
655.0,5.0,0.8125,0.9598395
656.0,5.0,0.90625,0.74830276
657.0,5.0,0.75,0.9672585
658.0,5.0,0.8125,0.75109446
659.0,5.0,0.875,0.60803616
660.0,5.0,0.71875,0.94348675
661.0,5.0,0.78125,1.0362272
662.0,5.0,0.78125,0.7493922
663.0,5.0,0.84375,0.8801648
664.0,5.0,0.875,0.7061186
665.0,5.0,0.9375,0.7259749
666.0,5.0,0.875,0.64282423
667.0,5.0,0.90625,0.71432984
668.0,5.0,0.8125,0.7774373
669.0,5.0,0.84375,0.4858402
670.0,5.0,0.65625,1.0855488
671.0,5.0,0.71875,1.1540105
672.0,5.0,0.78125,0.8963785
673.0,5.0,0.75,0.9613487
674.0,5.0,0.78125,0.7829873
675.0,5.0,0.90625,0.57624775
676.0,5.0,0.8125,0.7616794
677.0,5.0,0.875,0.62907946
678.0,5.0,0.90625,0.69647604
679.0,5.0,0.84375,0.735509
680.0,5.0,0.6666666666666666,1.0838518
681.0,6.0,0.8125,0.75314075
682.0,6.0,0.875,0.90182257
683.0,6.0,0.75,0.73825496
684.0,6.0,0.75,1.2035996
685.0,6.0,0.8125,0.7698168
686.0,6.0,0.78125,0.81925505
687.0,6.0,0.75,0.7188747
688.0,6.0,0.875,0.6487311
689.0,6.0,0.90625,0.63811255
690.0,6.0,0.84375,0.57725126
691.0,6.0,0.84375,0.9387168
692.0,6.0,0.84375,0.9555119
693.0,6.0,0.84375,0.91295356
694.0,6.0,0.84375,0.8379496
695.0,6.0,0.8125,0.96220165
696.0,6.0,0.9375,0.46462065
697.0,6.0,0.90625,0.6113524
698.0,6.0,0.90625,0.48326722
699.0,6.0,0.8125,0.923766
700.0,6.0,0.84375,0.7507699
701.0,6.0,0.84375,0.58124
702.0,6.0,0.8125,0.6281599
703.0,6.0,0.71875,1.0788134
704.0,6.0,0.75,0.8515331
705.0,6.0,0.8125,0.9715823
706.0,6.0,0.78125,0.92109007
707.0,6.0,0.9375,0.48918754
708.0,6.0,0.8125,0.9776213
709.0,6.0,0.90625,0.5426864
710.0,6.0,0.8125,0.68564606
711.0,6.0,0.8125,0.94780356
712.0,6.0,0.90625,0.5270165
713.0,6.0,0.6875,0.9883487
714.0,6.0,0.78125,0.7091367
715.0,6.0,0.75,0.9787886
716.0,6.0,0.75,1.001173
717.0,6.0,0.6875,1.0046053
718.0,6.0,0.78125,0.9263499
719.0,6.0,0.8125,0.79285204
720.0,6.0,0.78125,0.92810345
721.0,6.0,0.90625,0.4099115
722.0,6.0,0.8125,0.5931244
723.0,6.0,0.875,0.5296513
724.0,6.0,0.84375,0.53045654
725.0,6.0,0.9375,0.5405999
726.0,6.0,0.875,0.5927184
727.0,6.0,0.8125,0.69897556
728.0,6.0,0.8125,0.6744711
729.0,6.0,0.8125,0.6605387
730.0,6.0,0.90625,0.51614726
731.0,6.0,0.65625,1.1994373
732.0,6.0,0.875,0.6480113
733.0,6.0,0.8125,0.8623761
734.0,6.0,0.6875,0.8448226
735.0,6.0,0.84375,1.0663681
736.0,6.0,0.90625,0.59042555
737.0,6.0,0.8125,0.7929539
738.0,6.0,0.84375,0.81148446
739.0,6.0,0.78125,0.6543569
740.0,6.0,0.84375,0.65665096
741.0,6.0,0.71875,0.8406196
742.0,6.0,0.875,0.5996258
743.0,6.0,0.78125,0.73467416
744.0,6.0,0.8125,0.9977519
